distance,model_sum,groundtruth_sum,benchmark_sum
"(36.688, 37.433]",0.0004787454760494123,0.0005628863919993658,0.00012715146050791228
"(37.433, 38.256]",0.0005460915951599553,0.0004457713007076929,0.0002716417565396308
"(38.256, 39.126]",0.0005519718988055217,0.00047373750095969615,0.00014256375875129558
"(39.126, 40.055]",0.0005556332199433272,0.00048805336909992034,0.00011751877410579773
"(40.055, 41.052]",0.0004366957575273434,0.0004114339673612779,0.0001541229824338331
"(41.052, 42.126]",0.0004341439276434184,0.0003070037793217118,0.00011944531138622063
"(42.126, 43.271]",0.0004122869499419736,0.0002554721807074699,0.00012715146050791228
"(43.271, 44.547]",0.00037456424731003847,0.00028847317554178415,0.00010017993858199151
"(44.547, 45.989]",0.000420719083471465,0.0003422204847176488,0.00026393560741793916
"(45.989, 47.528]",0.0004739746636577264,0.00023515967925009785,0.0003448501731957015
"(47.528, 49.428]",0.0004412446716682532,0.00021955351981413538,0.00011751877410579773
"(49.428, 51.466]",0.0004888418464597243,0.0003334893766859041,0.0001444902960317185
"(51.466, 54.047]",0.0005549675251909989,0.00019842823810414285,0.0001965068026031372
"(54.047, 57.445]",0.0005458696969091793,5.587720719024778e-05,5.3943043851841587e-05
"(57.445, 61.969]",0.000517688619060616,0.00017326710635911114,3.082459648676662e-05
"(61.969, 69.585]",0.0005296711246025247,7.748888596376645e-05,0.00013871068419044974
"(69.585, 127.43]",0.00039508983550682665,9.931857946730402e-05,1.7338835523806225e-05
